"createdAt","value_1","id_1","value_2","id_2","value_3","id_3","value_4","id_4","value_5","id_5"
"2024-03-23T",NULL,NULL,NULL,NULL,NULL,NULL,"2.4","5df532463a2923001fde4f64",NULL,NULL
"2024-03-25T",NULL,NULL,NULL,NULL,NULL,NULL,"0.6","5df532463a2923001fde4f64",NULL,NULL
"2024-03-25T",NULL,NULL,NULL,NULL,NULL,NULL,"1.2","5df532463a2923001fde4f64",NULL,NULL
"2024-03-27T",NULL,NULL,NULL,NULL,NULL,NULL,"1.2","5df532463a2923001fde4f64",NULL,NULL
"2024-03-27T",NULL,NULL,NULL,NULL,NULL,NULL,"2.6","5df532463a2923001fde4f64",NULL,NULL
"2024-03-29T",NULL,NULL,NULL,NULL,NULL,NULL,"1.3","5df532463a2923001fde4f64",NULL,NULL
"2024-03-29T",NULL,NULL,NULL,NULL,NULL,NULL,"2","5df532463a2923001fde4f64",NULL,NULL
"2024-04-01T",NULL,NULL,NULL,NULL,NULL,NULL,"16.9","5df532463a2923001fde4f64",NULL,NULL
"2024-04-01T",NULL,NULL,NULL,NULL,NULL,NULL,"20.6","5df532463a2923001fde4f64",NULL,NULL
"2024-04-03T",NULL,NULL,NULL,NULL,NULL,NULL,"0.6","5df532463a2923001fde4f64",NULL,NULL
"2024-04-03T",NULL,NULL,NULL,NULL,NULL,NULL,"0.5","5df532463a2923001fde4f64",NULL,NULL
"2024-04-05T",NULL,NULL,NULL,NULL,NULL,NULL,"5.4","5df532463a2923001fde4f64",NULL,NULL
"2024-04-05T",NULL,NULL,NULL,NULL,NULL,NULL,"5.9","5df532463a2923001fde4f64",NULL,NULL
"2024-04-07T",NULL,NULL,NULL,NULL,NULL,NULL,"1.2","5df532463a2923001fde4f64",NULL,NULL
"2024-04-07T",NULL,NULL,NULL,NULL,NULL,NULL,"1.7","5df532463a2923001fde4f64",NULL,NULL
"2024-04-09T","1.5","598b2f86e3b1fa0010f0f8d4","2.1","5fb143a69b2df8001bb4a8e8",NULL,NULL,"2.4","5df532463a2923001fde4f64","0.57","5fbed0927a70a5001c80494f"
"2024-04-09T","1.5","598b2f86e3b1fa0010f0f8d4","2.1","5fb143a69b2df8001bb4a8e8",NULL,NULL,"3.5","5df532463a2923001fde4f64","0.57","5fbed0927a70a5001c80494f"
"2024-04-11T","4.83","598b2f86e3b1fa0010f0f8d4","4.72","5fb143a69b2df8001bb4a8e8",NULL,NULL,"3.2","5df532463a2923001fde4f64","2.25","5fbed0927a70a5001c80494f"
"2024-04-11T","4.83","598b2f86e3b1fa0010f0f8d4","4.72","5fb143a69b2df8001bb4a8e8",NULL,NULL,"1.2","5df532463a2923001fde4f64","2.25","5fbed0927a70a5001c80494f"
"2024-04-13T",NULL,NULL,NULL,NULL,NULL,NULL,"1.1","5df532463a2923001fde4f64","0.95","5fbed0927a70a5001c80494f"
"2024-04-13T",NULL,NULL,NULL,NULL,NULL,NULL,"1.6","5df532463a2923001fde4f64","0.95","5fbed0927a70a5001c80494f"
"2024-04-15T","6.2","598b2f86e3b1fa0010f0f8d4","10.65","5fb143a69b2df8001bb4a8e8",NULL,NULL,"4.1","5df532463a2923001fde4f64","4.1","5fbed0927a70a5001c80494f"
"2024-04-15T","6.2","598b2f86e3b1fa0010f0f8d4","10.65","5fb143a69b2df8001bb4a8e8",NULL,NULL,"5.3","5df532463a2923001fde4f64","4.1","5fbed0927a70a5001c80494f"
"2024-04-17T",NULL,NULL,"5.43","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.3","5df532463a2923001fde4f64","4.3","5fbed0927a70a5001c80494f"
"2024-04-17T",NULL,NULL,"5.43","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.8","5df532463a2923001fde4f64","4.3","5fbed0927a70a5001c80494f"
"2024-04-19T",NULL,NULL,"8.8","5fb143a69b2df8001bb4a8e8",NULL,NULL,"1.1","5df532463a2923001fde4f64","3.55","5fbed0927a70a5001c80494f"
"2024-04-19T",NULL,NULL,"8.8","5fb143a69b2df8001bb4a8e8",NULL,NULL,"1.1","5df532463a2923001fde4f64","3.55","5fbed0927a70a5001c80494f"
"2024-04-21T","1.4","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.5","5df532463a2923001fde4f64",NULL,NULL
"2024-04-21T","1.4","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.2","5df532463a2923001fde4f64",NULL,NULL
"2024-04-23T","5.93","598b2f86e3b1fa0010f0f8d4","13.35","5fb143a69b2df8001bb4a8e8",NULL,NULL,"1.1","5df532463a2923001fde4f64","5.9","5fbed0927a70a5001c80494f"
"2024-04-23T","5.93","598b2f86e3b1fa0010f0f8d4","13.35","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.9","5df532463a2923001fde4f64","5.9","5fbed0927a70a5001c80494f"
"2024-04-25T","0.65","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.2","5df532463a2923001fde4f64","1.7","5fbed0927a70a5001c80494f"
"2024-04-27T",NULL,NULL,"4.3","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.6","5df532463a2923001fde4f64","0.5","5fbed0927a70a5001c80494f"
"2024-04-27T",NULL,NULL,"4.3","5fb143a69b2df8001bb4a8e8",NULL,NULL,"1","5df532463a2923001fde4f64","0.5","5fbed0927a70a5001c80494f"
"2024-04-29T",NULL,NULL,NULL,NULL,NULL,NULL,"4.2","5df532463a2923001fde4f64","2.97","5fbed0927a70a5001c80494f"
"2024-04-29T",NULL,NULL,NULL,NULL,NULL,NULL,"3.1","5df532463a2923001fde4f64","2.97","5fbed0927a70a5001c80494f"
