,datum,average_landpm10,average_landpm2_5,average_stadtpm10,average_stadtpm2_5
0,2022-04-07,1.734,0.618,4.498333333333334,1.4349999999999998
1,2022-04-09,4.394,2.252,4.542666666666667,1.7926666666666669
2,2022-04-11,13.8825,3.2,6.654444444444445,2.552222222222222
3,2022-04-13,7.43,3.4299999999999997,17.67375,8.693750000000001
4,2022-04-15,11.616666666666667,6.876666666666666,8.767777777777779,5.747777777777777
5,2022-04-17,2.8340000000000005,1.8040000000000003,4.3412500000000005,2.15
6,2022-04-19,3.4225000000000003,2.1575,5.0566666666666675,3.5483333333333333
7,2022-04-21,14.224999999999998,8.485,11.413999999999998,4.726
8,2022-04-23,8.870000000000001,6.51,13.706666666666665,9.111111111111109
9,2022-04-25,10.672,7.360000000000001,7.91,4.544166666666667
10,2022-04-27,5.836,4.116,9.860666666666667,5.902666666666667
11,2022-04-29,5.358,3.18,14.223333333333334,9.081666666666667
12,2022-05-01,6.493333333333335,4.29,10.829999999999998,6.221666666666667
13,2022-05-03,7.456000000000001,4.754,8.9375,4.2775
14,2022-05-05,7.65,6.279999999999999,8.171666666666667,6.076666666666667
15,2022-05-07,4.326,2.7220000000000004,10.74,7.2219999999999995
16,2022-05-09,4.535,2.6125000000000003,7.877,4.526999999999999
17,2022-05-11,4.901999999999999,3.21,7.321666666666665,3.5916666666666663
18,2022-05-13,5.533333333333334,2.4566666666666666,5.72125,2.475
19,2022-05-15,3.0933333333333333,1.876666666666667,4.9719999999999995,2.084
20,2022-05-17,2.9499999999999997,1.3933333333333333,9.585833333333332,3.9958333333333336
21,2022-05-19,3.7159999999999997,2.3600000000000003,7.190666666666667,3.822
22,2022-05-21,2.5500000000000003,1.145,9.083333333333334,3.6816666666666666
23,2022-05-23,4.1825,1.5625,6.072500000000001,2.63125
24,2022-05-25,2.19,0.9325,3.7399999999999998,1.4060000000000001
25,2022-05-27,3.825,1.35,7.679166666666667,2.6825
26,2022-05-29,4.3,1.2719999999999998,6.597000000000001,2.8920000000000003
27,2022-06-01,6.0175,1.58,7.616666666666667,3.24
28,2022-06-03,2.945,1.8575000000000002,5.227777777777778,2.371111111111111
29,2022-06-05,3.1566666666666663,2.1033333333333335,7.88,7.153333333333333
30,2022-06-07,2.434,1.4659999999999997,8.886,4.753
31,2022-06-09,5.54,2.6375,19.438,5.3469999999999995
32,2022-06-11,3.705,1.58,5.2575,2.9924999999999997
33,2022-06-13,3.4066666666666667,1.34,5.366666666666667,1.875
34,2022-06-15,3.2100000000000004,1.1333333333333333,12.1175,4.6
35,2022-06-17,1.5,0.675,5.64125,2.2024999999999997
36,2022-06-19,9.693333333333333,4.8566666666666665,12.388750000000002,4.29375
37,2022-06-21,5.101999999999999,2.652,6.7925,2.49
38,2022-06-23,6.206000000000001,1.8719999999999999,5.8340000000000005,3.278
39,2022-06-25,10.575,8.71,4.116666666666666,2.5166666666666666
